time,open,high,low,close,volume,ticker,day,month,year,profit
2017-01-03,2.39,2.47,2.36,2.38,49690,AGR,3,1,2017,-496.90000000001146
2017-01-04,2.38,2.38,2.29,2.29,57190,AGR,4,1,2017,-5147.099999999992
2017-01-05,2.29,2.34,2.28,2.33,61050,AGR,5,1,2017,2442.0000000000023
2017-01-06,2.33,2.43,2.32,2.32,85850,AGR,6,1,2017,-858.5000000000198
2017-01-09,2.37,2.38,2.34,2.35,107450,AGR,9,1,2017,-2149.000000000002
2017-01-10,2.37,2.45,2.36,2.42,111630,AGR,10,1,2017,5581.49999999998
2017-01-11,2.4,2.44,2.39,2.43,204630,AGR,11,1,2017,6138.900000000051
2017-01-12,2.44,2.44,2.39,2.43,113890,AGR,12,1,2017,-1138.8999999999758
2017-01-13,2.41,2.44,2.38,2.43,87510,AGR,13,1,2017,1750.2000000000016
2017-01-16,2.44,2.44,2.35,2.41,68340,AGR,16,1,2017,-2050.1999999999866
2017-01-17,2.37,2.41,2.37,2.4,49490,AGR,17,1,2017,1484.6999999999903
2017-01-18,2.4,2.41,2.39,2.4,134050,AGR,18,1,2017,0.0
2017-01-19,2.42,2.47,2.4,2.47,220420,AGR,19,1,2017,11021.000000000058
2017-01-20,2.47,2.51,2.47,2.5,118770,AGR,20,1,2017,3563.0999999999767
2017-01-23,2.53,2.56,2.5,2.56,86350,AGR,23,1,2017,2590.5000000000214
2017-01-24,2.56,2.59,2.55,2.57,224030,AGR,24,1,2017,2240.2999999999524
2017-01-25,2.58,2.74,2.58,2.74,605650,AGR,25,1,2017,96904.00000000009
2017-02-02,2.79,2.93,2.75,2.93,379370,AGR,2,2,2017,53111.80000000005
2017-02-03,2.99,3.13,2.99,3.04,523060,AGR,3,2,2017,26152.999999999905
2017-02-06,3.04,3.1,3.03,3.06,468610,AGR,6,2,2017,9372.200000000008
2017-02-07,3.04,3.06,2.99,3.0,357360,AGR,7,2,2017,-14294.400000000012
2017-02-08,2.95,3.04,2.95,3.01,164550,AGR,8,2,2017,9872.999999999936
2017-02-09,3.04,3.22,2.84,3.22,757090,AGR,9,2,2017,136276.20000000013
2017-02-10,3.31,3.4,3.22,3.36,702680,AGR,10,2,2017,35133.999999999876
2017-02-13,3.41,3.59,3.36,3.59,732220,AGR,13,2,2017,131799.5999999998
2017-02-14,3.6,3.85,3.51,3.59,1318960,AGR,14,2,2017,-13189.600000000304
2017-02-15,3.6,3.79,3.51,3.65,1018540,AGR,15,2,2017,50926.99999999982
2017-02-16,3.7,3.7,3.4,3.4,1031130,AGR,16,2,2017,-309339.0000000003
2017-02-17,3.33,3.46,3.17,3.23,1063660,AGR,17,2,2017,-106366.00000000009
2017-02-20,3.13,3.27,3.02,3.21,532610,AGR,20,2,2017,42608.80000000004
2017-02-21,3.23,3.41,3.23,3.32,479330,AGR,21,2,2017,43139.69999999993
2017-02-22,3.36,3.36,3.1,3.13,318540,AGR,22,2,2017,-73264.2
2017-02-23,3.05,3.2,2.99,2.99,422990,AGR,23,2,2017,-25379.399999999834
2017-02-24,2.89,3.0,2.79,2.79,667020,AGR,24,2,2017,-66702.00000000006
2017-02-27,2.79,2.99,2.79,2.99,312110,AGR,27,2,2017,62422.00000000006
2017-02-28,3.16,3.2,3.15,3.2,586290,AGR,28,2,2017,23451.60000000002
2017-03-01,3.2,3.2,2.98,3.04,296310,AGR,1,3,2017,-47409.60000000004
2017-03-02,3.08,3.13,2.99,3.04,202490,AGR,2,3,2017,-8099.600000000008
2017-03-03,3.08,3.08,2.94,2.94,209530,AGR,3,3,2017,-29334.200000000026
2017-03-06,2.96,3.14,2.96,3.07,377920,AGR,6,3,2017,41571.19999999995
2017-03-07,3.07,3.13,3.04,3.07,183560,AGR,7,3,2017,0.0
2017-03-08,3.1,3.1,3.04,3.05,233410,AGR,8,3,2017,-11670.500000000062
2017-03-09,3.05,3.05,2.99,2.99,129410,AGR,9,3,2017,-7764.599999999949
2017-03-10,3.01,3.16,3.01,3.05,308400,AGR,10,3,2017,12336.000000000011
2017-03-13,3.01,3.03,2.99,3.02,117050,AGR,13,3,2017,1170.500000000027
2017-03-14,3.11,3.11,3.0,3.03,58910,AGR,14,3,2017,-4712.800000000004
2017-03-15,3.03,3.04,2.94,2.95,235400,AGR,15,3,2017,-18831.999999999913
2017-03-16,3.03,3.13,2.95,3.13,464130,AGR,16,3,2017,46413.000000000044
2017-03-17,3.23,3.31,3.15,3.2,559860,AGR,17,3,2017,-16795.79999999989
2017-03-20,3.22,3.36,3.21,3.32,975210,AGR,20,3,2017,97520.99999999965
2017-03-21,3.41,3.41,3.34,3.36,540690,AGR,21,3,2017,-27034.500000000146
2017-03-22,3.34,3.59,3.34,3.59,1797150,AGR,22,3,2017,449287.5
2017-03-23,3.8,3.85,3.65,3.85,1795430,AGR,23,3,2017,89771.50000000048
2017-03-24,4.08,4.11,3.89,4.11,2756960,AGR,24,3,2017,82708.80000000069
2017-03-27,3.93,3.98,3.83,3.83,2255860,AGR,27,3,2017,-225586.0000000002
2017-03-28,3.69,3.92,3.69,3.72,927440,AGR,28,3,2017,27823.20000000023
2017-03-29,3.64,3.8,3.47,3.47,1413660,AGR,29,3,2017,-240322.1999999999
2017-03-30,3.51,3.71,3.51,3.69,909170,AGR,30,3,2017,163650.60000000015
2017-03-31,3.79,3.79,3.51,3.51,594150,AGR,31,3,2017,-166362.00000000015
2017-04-03,3.51,3.59,3.4,3.4,575440,AGR,3,4,2017,-63298.39999999993
2017-04-04,3.36,3.56,3.36,3.55,531330,AGR,4,4,2017,100952.69999999997
2017-04-05,3.55,3.62,3.5,3.53,286250,AGR,5,4,2017,-5725.0000000000055
2017-04-07,3.53,3.53,3.44,3.45,317350,AGR,7,4,2017,-25387.99999999988
2017-04-10,3.22,3.41,3.22,3.24,2128150,AGR,10,4,2017,42563.00000000004
2017-04-11,3.28,3.4,3.28,3.36,1111310,AGR,11,4,2017,88904.80000000008
2017-04-12,3.32,3.36,3.26,3.31,806930,AGR,12,4,2017,-8069.299999999828
2017-04-13,3.31,3.31,3.15,3.25,492140,AGR,13,4,2017,-29528.400000000027
2017-04-14,3.23,3.31,3.23,3.23,226880,AGR,14,4,2017,0.0
2017-04-17,3.31,3.32,3.25,3.26,525700,AGR,17,4,2017,-26285.000000000142
2017-04-18,3.24,3.28,3.23,3.24,288060,AGR,18,4,2017,0.0
2017-04-19,3.28,3.45,3.28,3.45,685580,AGR,19,4,2017,116548.60000000025
2017-04-20,3.65,3.67,3.32,3.36,987000,AGR,20,4,2017,-286230.00000000006
2017-04-21,3.36,3.51,3.32,3.32,255930,AGR,21,4,2017,-10237.20000000001
2017-04-24,3.26,3.32,3.23,3.31,311150,AGR,24,4,2017,15557.500000000084
2017-04-25,3.25,3.32,3.23,3.28,346000,AGR,25,4,2017,10379.999999999933
2017-04-26,3.23,3.32,3.23,3.24,117650,AGR,26,4,2017,1176.500000000027
2017-04-27,3.28,3.31,3.23,3.3,225390,AGR,27,4,2017,4507.800000000004
2017-04-28,3.24,3.28,3.24,3.28,184200,AGR,28,4,2017,7367.9999999999245
2017-05-03,3.29,3.35,3.24,3.29,325340,AGR,3,5,2017,0.0
2017-05-04,3.26,3.46,3.26,3.4,664880,AGR,4,5,2017,93083.20000000008
2017-05-05,3.55,3.55,3.33,3.34,198370,AGR,5,5,2017,-41657.69999999999
2017-05-08,3.32,3.37,3.23,3.31,287750,AGR,8,5,2017,-2877.4999999999386
2017-05-09,3.26,3.36,3.2,3.36,888940,AGR,9,5,2017,88894.00000000007
2017-05-10,3.41,3.46,3.36,3.37,604740,AGR,10,5,2017,-24189.60000000002
2017-05-11,3.41,3.41,3.32,3.33,148950,AGR,11,5,2017,-11916.000000000011
2017-05-12,3.33,3.33,3.28,3.28,307690,AGR,12,5,2017,-15384.500000000082
2017-05-15,3.26,3.36,3.26,3.33,604470,AGR,15,5,2017,42312.90000000017
