,time,open,high,low,close,volume,ticker
0,2017-01-03,2.39,2.47,2.36,2.38,49690,AGR
1,2017-01-04,2.38,2.38,2.29,2.29,57190,AGR
2,2017-01-05,2.29,2.34,2.28,2.33,61050,AGR
3,2017-01-06,2.33,2.43,2.32,2.32,85850,AGR
4,2017-01-09,2.37,2.38,2.34,2.35,107450,AGR
5,2017-01-10,2.37,2.45,2.36,2.42,111630,AGR
6,2017-01-11,2.4,2.44,2.39,2.43,204630,AGR
7,2017-01-12,2.44,2.44,2.39,2.43,113890,AGR
8,2017-01-13,2.41,2.44,2.38,2.43,87510,AGR
9,2017-01-16,2.44,2.44,2.35,2.41,68340,AGR
10,2017-01-17,2.37,2.41,2.37,2.4,49490,AGR
11,2017-01-18,2.4,2.41,2.39,2.4,134050,AGR
12,2017-01-19,2.42,2.47,2.4,2.47,220420,AGR
13,2017-01-20,2.47,2.51,2.47,2.5,118770,AGR
14,2017-01-23,2.53,2.56,2.5,2.56,86350,AGR
15,2017-01-24,2.56,2.59,2.55,2.57,224030,AGR
16,2017-01-25,2.58,2.74,2.58,2.74,605650,AGR
17,2017-02-02,2.79,2.93,2.75,2.93,379370,AGR
18,2017-02-03,2.99,3.13,2.99,3.04,523060,AGR
19,2017-02-06,3.04,3.1,3.03,3.06,468610,AGR
20,2017-02-07,3.04,3.06,2.99,3.0,357360,AGR
21,2017-02-08,2.95,3.04,2.95,3.01,164550,AGR
22,2017-02-09,3.04,3.22,2.84,3.22,757090,AGR
23,2017-02-10,3.31,3.4,3.22,3.36,702680,AGR
24,2017-02-13,3.41,3.59,3.36,3.59,732220,AGR
25,2017-02-14,3.6,3.85,3.51,3.59,1318960,AGR
26,2017-02-15,3.6,3.79,3.51,3.65,1018540,AGR
27,2017-02-16,3.7,3.7,3.4,3.4,1031130,AGR
28,2017-02-17,3.33,3.46,3.17,3.23,1063660,AGR
29,2017-02-20,3.13,3.27,3.02,3.21,532610,AGR
30,2017-02-21,3.23,3.41,3.23,3.32,479330,AGR
