,time,open,high,low,close,volume,ticker
0,2017-01-03,9.28,9.8,9.28,9.8,4954000,BID
1,2017-01-04,9.89,10.15,9.89,9.99,4674470,BID
2,2017-01-05,9.93,10.15,9.83,9.96,1988580,BID
3,2017-01-06,9.83,10.38,9.83,10.18,6338280,BID
4,2017-01-09,10.22,10.61,10.22,10.48,6160700,BID
5,2017-01-10,10.41,10.48,10.31,10.41,2471780,BID
6,2017-01-11,10.48,10.73,10.38,10.73,7292910,BID
7,2017-01-12,10.73,10.73,10.61,10.67,3541500,BID
8,2017-01-13,10.67,10.7,10.44,10.51,3414240,BID
9,2017-01-16,10.51,10.54,10.22,10.22,2739610,BID
10,2017-01-17,10.41,10.9,10.31,10.86,6538420,BID
11,2017-01-18,10.86,11.19,10.64,10.64,5523490,BID
12,2017-01-19,10.57,10.77,10.54,10.64,1997400,BID
13,2017-01-20,10.67,10.93,10.61,10.77,3226890,BID
14,2017-01-23,10.8,10.99,10.73,10.9,3412290,BID
15,2017-01-24,10.9,11.09,10.9,10.99,3130040,BID
16,2017-01-25,10.99,10.99,10.67,10.93,2424360,BID
17,2017-02-02,10.93,11.12,10.77,11.12,3033030,BID
18,2017-02-03,11.12,11.35,11.03,11.12,4057580,BID
19,2017-02-06,11.12,11.25,10.99,11.12,2896390,BID
20,2017-02-07,11.03,11.22,10.96,11.06,3550940,BID
21,2017-02-08,11.06,11.12,10.9,10.99,3716420,BID
22,2017-02-09,10.99,11.09,10.9,10.9,3894230,BID
23,2017-02-10,10.9,11.09,10.86,11.06,3882460,BID
24,2017-02-13,11.06,11.09,10.9,10.9,2356920,BID
25,2017-02-14,10.93,11.03,10.9,10.99,3452520,BID
26,2017-02-15,10.99,11.25,10.9,11.22,3866520,BID
27,2017-02-16,11.15,11.28,10.99,10.99,4207540,BID
28,2017-02-17,10.93,11.03,10.83,10.93,2315410,BID
29,2017-02-20,10.86,10.9,10.67,10.73,4319650,BID
30,2017-02-21,10.8,10.9,10.77,10.8,3466220,BID
31,2017-02-22,10.86,10.86,10.67,10.73,2027200,BID
32,2017-02-23,10.73,10.8,10.57,10.77,1917960,BID
33,2017-02-24,10.67,10.86,10.67,10.77,2717550,BID
34,2017-02-27,10.67,10.8,10.64,10.8,1299320,BID
35,2017-02-28,10.77,10.8,10.61,10.64,1374710,BID
36,2017-03-01,10.64,10.64,10.41,10.54,2971500,BID
37,2017-03-02,10.61,10.67,10.38,10.38,2357980,BID
38,2017-03-03,10.41,10.61,10.22,10.61,3291400,BID
39,2017-03-06,10.73,10.8,10.61,10.73,2663090,BID
40,2017-03-07,10.67,10.73,10.61,10.67,1229860,BID
41,2017-03-08,10.61,10.83,10.54,10.73,2091720,BID
42,2017-03-09,10.73,10.96,10.7,10.86,4635690,BID
43,2017-03-10,10.93,10.93,10.7,10.7,2210220,BID
44,2017-03-13,10.67,10.7,10.54,10.67,1377930,BID
45,2017-03-14,10.57,10.67,10.54,10.61,2190590,BID
46,2017-03-15,10.54,10.64,10.51,10.64,1177930,BID
47,2017-03-16,10.64,10.7,10.51,10.57,1860750,BID
48,2017-03-17,10.57,10.83,10.54,10.8,4646040,BID
49,2017-03-20,10.8,10.86,10.64,10.83,3017280,BID
50,2017-03-21,10.86,11.25,10.86,11.25,10006770,BID
51,2017-03-22,11.25,11.41,11.19,11.25,9321930,BID
52,2017-03-23,11.25,11.41,11.12,11.28,3455890,BID
53,2017-03-24,11.41,11.58,11.25,11.58,8242990,BID
54,2017-03-27,11.64,11.74,11.41,11.48,7212840,BID
55,2017-03-28,11.38,11.51,11.25,11.25,3129920,BID
56,2017-03-29,11.28,11.28,11.06,11.25,4029300,BID
57,2017-03-30,11.25,11.54,11.22,11.48,5467270,BID
58,2017-03-31,11.48,11.48,11.25,11.35,2402720,BID
59,2017-04-03,11.28,11.35,11.09,11.09,3046160,BID
60,2017-04-04,11.19,11.28,11.03,11.12,3160690,BID
61,2017-04-05,11.12,11.22,11.06,11.09,3256600,BID
62,2017-04-07,11.06,11.15,10.86,11.06,4065580,BID
63,2017-04-10,11.12,11.15,10.99,10.99,3210070,BID
64,2017-04-11,10.99,11.03,10.83,10.99,3274570,BID
65,2017-04-12,10.99,11.12,10.86,10.99,3272610,BID
66,2017-04-13,10.93,11.06,10.86,10.93,4017550,BID
67,2017-04-14,10.8,11.03,10.64,11.03,4089000,BID
68,2017-04-17,10.99,11.03,10.61,10.61,2640550,BID
69,2017-04-18,10.61,10.67,10.48,10.67,3394390,BID
70,2017-04-19,10.64,10.67,10.54,10.54,2200740,BID
71,2017-04-20,10.54,10.93,10.44,10.73,3276820,BID
72,2017-04-21,10.83,10.93,10.67,10.7,2322130,BID
73,2017-04-24,10.67,10.73,10.54,10.57,915040,BID
74,2017-04-25,10.61,10.67,10.48,10.57,2039700,BID
75,2017-04-26,10.54,10.83,10.44,10.67,3093360,BID
76,2017-04-27,10.67,10.8,10.64,10.73,1305200,BID
77,2017-04-28,10.54,10.8,10.54,10.73,4054470,BID
78,2017-05-03,10.73,10.86,10.67,10.73,2134200,BID
79,2017-05-04,10.73,11.03,10.64,10.86,3603070,BID
80,2017-05-05,10.86,10.86,10.61,10.7,2558190,BID
81,2017-05-08,10.77,10.77,10.54,10.67,2750130,BID
82,2017-05-09,10.61,10.8,10.57,10.73,3390050,BID
83,2017-05-10,10.73,11.19,10.73,11.06,6204060,BID
84,2017-05-11,11.06,11.15,10.99,10.99,3438740,BID
85,2017-05-12,10.99,11.19,10.93,10.96,3232780,BID
86,2017-05-15,10.93,10.96,10.8,10.93,3094730,BID
87,2017-05-16,10.99,11.03,10.8,10.93,3557650,BID
88,2017-05-17,10.86,10.93,10.77,10.8,2289770,BID
89,2017-05-18,10.8,11.03,10.77,10.86,3270310,BID
90,2017-05-19,10.9,11.12,10.83,11.12,5387170,BID
91,2017-05-22,11.25,11.9,11.25,11.9,15701040,BID
92,2017-05-23,11.9,12.38,11.74,12.0,10107090,BID
93,2017-05-24,11.93,12.51,11.83,12.45,9620910,BID
94,2017-05-25,12.45,12.74,12.29,12.35,8562650,BID
95,2017-05-26,12.29,12.61,12.29,12.61,6662620,BID
96,2017-05-29,12.61,12.8,12.22,12.29,6835440,BID
97,2017-05-30,12.22,12.42,11.87,11.87,7521710,BID
98,2017-05-31,11.87,12.03,11.74,11.93,4665780,BID
99,2017-06-01,11.96,12.06,11.83,11.83,3182440,BID
100,2017-06-02,11.83,11.9,11.61,11.8,5040700,BID
101,2017-06-05,11.96,12.16,11.9,12.09,3173120,BID
102,2017-06-06,12.03,12.58,11.96,12.55,8701470,BID
103,2017-06-07,12.61,12.77,12.48,12.55,6665550,BID
104,2017-06-08,12.48,12.55,12.22,12.35,3776460,BID
105,2017-06-09,12.35,12.45,12.16,12.19,4780100,BID
106,2017-06-12,12.22,12.45,12.12,12.25,4459550,BID
107,2017-06-13,12.29,12.74,12.22,12.61,4418920,BID
108,2017-06-14,12.74,13.0,12.71,12.93,7438470,BID
109,2017-06-15,13.0,13.0,12.71,12.8,5827220,BID
110,2017-06-16,12.74,12.87,12.71,12.77,3740610,BID
111,2017-06-19,12.93,12.97,12.8,12.93,4812540,BID
112,2017-06-20,13.13,13.32,13.0,13.29,6648680,BID
113,2017-06-21,13.19,13.32,12.84,13.13,7245070,BID
114,2017-06-22,13.19,13.26,12.84,12.84,4700650,BID
115,2017-06-23,12.74,12.87,12.67,12.87,4067480,BID
116,2017-06-26,12.87,13.16,12.8,13.06,4079030,BID
117,2017-06-27,13.06,13.16,12.87,12.87,3955780,BID
118,2017-06-28,12.84,13.06,12.74,12.9,3584220,BID
119,2017-06-29,13.03,13.32,13.03,13.13,5414500,BID
120,2017-06-30,13.06,13.19,13.06,13.19,2718220,BID
121,2017-07-03,13.22,13.55,13.19,13.39,3702190,BID
122,2017-07-04,13.45,13.52,13.06,13.13,3960190,BID
123,2017-07-05,13.13,13.22,13.06,13.19,3792250,BID
124,2017-07-06,13.29,13.39,13.03,13.13,5082620,BID
125,2017-07-07,13.13,13.32,13.03,13.06,4883780,BID
126,2017-07-10,13.06,13.13,12.74,12.74,4280320,BID
127,2017-07-11,12.74,12.77,12.32,12.74,2406080,BID
128,2017-07-12,12.74,12.74,12.48,12.48,2218530,BID
129,2017-07-13,12.48,12.71,12.45,12.64,1427810,BID
130,2017-07-14,12.74,12.74,12.48,12.48,1615650,BID
131,2017-07-17,12.55,12.61,12.19,12.22,2508150,BID
132,2017-07-18,12.19,12.35,12.09,12.25,1988430,BID
133,2017-07-19,12.38,12.45,12.29,12.32,1785650,BID
134,2017-07-20,12.45,12.67,12.29,12.67,2885390,BID
135,2017-07-21,12.74,12.8,12.45,12.45,2846690,BID
136,2017-07-24,12.42,12.61,12.25,12.55,1521320,BID
137,2017-07-25,12.55,13.26,12.55,13.26,4854620,BID
