,time,open,high,low,close,volume,ticker
0,2017-01-03,9.44,9.97,9.44,9.97,1008370,CTG
1,2017-01-04,10.12,10.28,9.97,10.16,1006570,CTG
2,2017-01-05,10.09,10.22,9.91,10.22,892010,CTG
3,2017-01-06,10.03,10.59,9.97,10.31,1151370,CTG
4,2017-01-09,10.53,10.71,10.4,10.59,1335810,CTG
5,2017-01-10,10.53,10.53,10.4,10.47,693510,CTG
6,2017-01-11,10.47,10.96,10.47,10.96,2008310,CTG
7,2017-01-12,10.96,11.02,10.77,10.9,739950,CTG
8,2017-01-13,10.9,10.9,10.68,10.71,623490,CTG
9,2017-01-16,10.97,10.97,10.65,10.65,815390,CTG
10,2017-01-17,10.84,11.39,10.81,11.39,3003990,CTG
11,2017-01-18,11.39,11.78,11.1,11.16,1624550,CTG
12,2017-01-19,11.04,11.39,11.04,11.39,1088370,CTG
13,2017-01-20,11.39,11.75,11.36,11.55,2339900,CTG
14,2017-01-23,11.55,12.29,11.52,11.81,2995710,CTG
15,2017-01-24,12.0,12.1,11.68,11.97,2109910,CTG
16,2017-01-25,11.94,12.1,11.68,11.97,2442780,CTG
17,2017-02-02,12.0,12.26,11.87,12.07,1314520,CTG
18,2017-02-03,12.07,12.2,11.75,11.91,2070490,CTG
19,2017-02-06,11.84,11.97,11.71,11.81,1384570,CTG
20,2017-02-07,11.78,12.04,11.68,11.71,3218470,CTG
21,2017-02-08,11.71,11.78,11.49,11.52,2904010,CTG
22,2017-02-09,11.58,11.75,11.58,11.65,1592330,CTG
23,2017-02-10,11.65,12.07,11.62,11.97,3566190,CTG
24,2017-02-13,11.97,12.04,11.84,11.94,1937220,CTG
25,2017-02-14,11.91,12.13,11.91,12.04,2680990,CTG
26,2017-02-15,12.04,12.52,12.04,12.46,4804180,CTG
27,2017-02-16,12.52,12.68,12.26,12.46,5808080,CTG
28,2017-02-17,12.39,12.46,12.16,12.2,2778190,CTG
29,2017-02-20,12.1,12.26,11.87,11.94,2694060,CTG
30,2017-02-21,12.07,12.16,11.81,11.81,2330830,CTG
31,2017-02-22,11.87,11.87,11.52,11.62,3853650,CTG
32,2017-02-23,11.68,11.71,11.29,11.55,2473690,CTG
33,2017-02-24,11.62,11.87,11.42,11.65,1407370,CTG
34,2017-02-27,11.55,11.91,11.52,11.81,1522540,CTG
35,2017-02-28,11.84,11.94,11.68,11.78,2586140,CTG
36,2017-03-01,11.75,11.78,11.45,11.62,1182670,CTG
37,2017-03-02,11.75,11.75,11.55,11.58,816410,CTG
38,2017-03-03,11.58,11.84,11.42,11.81,1754040,CTG
39,2017-03-06,11.94,12.07,11.81,11.87,1718240,CTG
40,2017-03-07,11.78,11.94,11.78,11.81,844680,CTG
41,2017-03-08,11.78,12.16,11.65,11.84,1972150,CTG
42,2017-03-09,11.84,12.07,11.84,11.87,1281380,CTG
43,2017-03-10,11.87,12.04,11.75,11.75,969700,CTG
44,2017-03-13,11.75,11.78,11.58,11.58,1059150,CTG
45,2017-03-14,11.55,11.68,11.49,11.55,1001120,CTG
46,2017-03-15,11.55,11.68,11.45,11.49,1048050,CTG
47,2017-03-16,11.55,11.68,11.49,11.52,886330,CTG
48,2017-03-17,11.62,11.81,11.62,11.65,696990,CTG
49,2017-03-20,11.75,11.87,11.62,11.81,1679060,CTG
50,2017-03-21,11.91,12.07,11.87,11.94,2470110,CTG
51,2017-03-22,12.07,12.2,11.84,11.84,2382120,CTG
52,2017-03-23,11.84,11.97,11.78,11.94,932740,CTG
53,2017-03-24,12.0,12.16,11.94,12.07,2471790,CTG
54,2017-03-27,12.2,12.42,12.07,12.13,1622690,CTG
55,2017-03-28,12.13,12.2,11.87,11.94,992200,CTG
56,2017-03-29,11.91,11.94,11.81,11.84,1098970,CTG
57,2017-03-30,11.87,12.0,11.84,11.84,992300,CTG
58,2017-03-31,11.91,11.91,11.62,11.68,1445170,CTG
59,2017-04-03,11.71,11.75,11.55,11.62,1573370,CTG
60,2017-04-04,11.68,11.71,11.58,11.58,775940,CTG
61,2017-04-05,11.65,11.71,11.55,11.62,798240,CTG
62,2017-04-07,11.58,11.68,11.52,11.62,681240,CTG
63,2017-04-10,11.62,11.71,11.55,11.55,447310,CTG
64,2017-04-11,11.55,11.71,11.45,11.68,1238960,CTG
65,2017-04-12,11.62,11.81,11.49,11.49,1144700,CTG
66,2017-04-13,11.55,11.65,11.45,11.45,954120,CTG
67,2017-04-14,11.36,11.45,11.23,11.29,1645800,CTG
68,2017-04-17,11.29,11.49,10.97,10.97,1623170,CTG
69,2017-04-18,10.97,11.16,10.94,11.16,1077960,CTG
70,2017-04-19,11.13,11.23,11.13,11.16,497490,CTG
71,2017-04-20,11.23,11.33,11.07,11.23,453700,CTG
72,2017-04-21,11.23,11.23,11.0,11.04,652400,CTG
73,2017-04-24,11.04,11.1,10.97,10.97,363620,CTG
74,2017-04-25,10.97,11.16,10.94,11.04,286970,CTG
75,2017-04-26,10.97,11.16,10.97,11.1,475310,CTG
76,2017-04-27,11.1,11.23,11.1,11.16,410720,CTG
77,2017-04-28,11.16,11.39,11.1,11.2,692930,CTG
78,2017-05-03,11.33,11.36,11.2,11.29,474500,CTG
79,2017-05-04,11.29,11.62,11.23,11.49,973500,CTG
80,2017-05-05,11.42,11.52,11.39,11.45,421560,CTG
81,2017-05-08,11.42,11.55,11.36,11.45,703620,CTG
82,2017-05-09,11.39,11.62,11.36,11.58,844220,CTG
83,2017-05-10,11.58,11.94,11.55,11.81,1931930,CTG
84,2017-05-11,11.87,11.87,11.68,11.68,641050,CTG
85,2017-05-12,11.62,11.91,11.62,11.71,703260,CTG
86,2017-05-15,11.71,11.75,11.52,11.68,1110290,CTG
87,2017-05-16,11.58,11.75,11.42,11.49,815770,CTG
88,2017-05-17,11.45,11.65,11.36,11.45,654830,CTG
89,2017-05-18,11.49,11.78,11.45,11.58,933490,CTG
90,2017-05-19,11.62,11.87,11.62,11.75,1091650,CTG
91,2017-05-22,11.94,12.55,11.81,12.39,5170640,CTG
92,2017-05-23,12.39,12.55,12.07,12.07,1965190,CTG
93,2017-05-24,12.13,12.55,11.94,12.42,2068710,CTG
94,2017-05-25,12.42,12.52,12.16,12.2,2220180,CTG
95,2017-05-26,12.2,12.39,12.13,12.2,1376370,CTG
96,2017-05-29,12.36,12.84,12.36,12.62,5590140,CTG
97,2017-05-30,12.62,12.71,12.2,12.2,2589230,CTG
98,2017-05-31,12.2,12.36,12.07,12.13,1058830,CTG
99,2017-06-01,12.13,12.33,12.04,12.04,1658360,CTG
100,2017-06-02,12.07,12.1,11.91,12.07,1569140,CTG
101,2017-06-05,12.26,12.33,12.1,12.13,968510,CTG
102,2017-06-06,12.16,12.42,12.07,12.39,1433850,CTG
103,2017-06-07,12.46,12.94,12.46,12.84,6095440,CTG
104,2017-06-08,12.78,12.84,12.52,12.62,1285490,CTG
105,2017-06-09,12.62,12.81,12.52,12.52,1210820,CTG
106,2017-06-12,12.58,12.71,12.46,12.58,1164340,CTG
107,2017-06-13,12.58,12.84,12.49,12.78,1257110,CTG
108,2017-06-14,12.91,13.2,12.91,13.07,3179340,CTG
109,2017-06-15,13.04,13.49,13.04,13.2,2805430,CTG
110,2017-06-16,13.07,13.29,13.07,13.17,982090,CTG
111,2017-06-19,13.26,13.42,13.17,13.36,1575050,CTG
112,2017-06-20,13.49,13.52,13.33,13.49,1962690,CTG
113,2017-06-21,13.49,13.49,12.84,13.07,2667760,CTG
114,2017-06-22,13.1,13.2,12.87,12.87,1834770,CTG
115,2017-06-23,12.84,12.91,12.68,12.91,1351710,CTG
116,2017-06-26,12.87,13.26,12.87,13.07,1228390,CTG
117,2017-06-27,13.1,13.17,12.91,12.91,1475230,CTG
118,2017-06-28,12.97,13.04,12.71,13.0,1301680,CTG
119,2017-06-29,12.91,13.23,12.91,13.0,1535240,CTG
120,2017-06-30,13.04,13.07,12.97,13.07,860890,CTG
121,2017-07-03,13.13,13.33,13.04,13.33,2640680,CTG
122,2017-07-04,13.36,13.36,13.07,13.13,708720,CTG
123,2017-07-05,13.13,13.23,13.07,13.17,1118490,CTG
124,2017-07-06,13.17,13.23,13.07,13.07,1606330,CTG
125,2017-07-07,13.1,13.23,12.84,12.84,1805000,CTG
126,2017-07-10,12.84,12.97,12.13,12.65,2645310,CTG
127,2017-07-11,12.58,12.71,12.39,12.65,1082800,CTG
128,2017-07-12,12.68,12.71,12.46,12.58,682010,CTG
129,2017-07-13,12.65,12.71,12.46,12.71,1014010,CTG
130,2017-07-14,12.71,12.78,12.46,12.49,904080,CTG
131,2017-07-17,12.49,12.52,12.0,12.13,2136590,CTG
132,2017-07-18,12.26,12.26,12.0,12.0,2311940,CTG
133,2017-07-19,12.16,12.2,12.07,12.2,1650820,CTG
134,2017-07-20,12.2,12.26,11.97,12.26,1705080,CTG
135,2017-07-21,12.26,12.42,12.0,12.0,1833150,CTG
136,2017-07-24,12.0,12.1,11.94,12.0,752680,CTG
137,2017-07-25,12.07,12.33,12.07,12.33,1131570,CTG
138,2017-07-26,12.42,12.68,12.33,12.55,2445580,CTG
139,2017-07-27,12.42,12.58,12.39,12.46,1928880,CTG
140,2017-07-28,12.46,12.75,12.42,12.58,2971010,CTG
141,2017-07-31,12.71,13.17,12.71,13.17,3214090,CTG
142,2017-08-01,13.17,13.17,12.91,12.91,2763120,CTG
143,2017-08-02,12.71,13.26,12.65,13.0,4382970,CTG
144,2017-08-03,13.07,13.29,12.97,13.0,5127760,CTG
145,2017-08-04,13.04,13.1,12.68,12.87,3531350,CTG
146,2017-08-07,12.94,12.97,12.75,12.87,2733760,CTG
147,2017-08-08,12.87,13.0,12.68,12.68,3342970,CTG
148,2017-08-09,12.58,12.65,12.07,12.13,4404510,CTG
149,2017-08-10,12.07,12.26,11.94,11.97,3819510,CTG
150,2017-08-11,12.04,12.26,11.94,12.26,2764010,CTG
151,2017-08-14,12.23,12.49,12.23,12.42,1354330,CTG
152,2017-08-15,12.42,12.49,12.26,12.29,1433540,CTG
153,2017-08-16,12.23,12.29,12.16,12.2,1198460,CTG
154,2017-08-17,12.16,12.26,11.97,11.97,1664970,CTG
155,2017-08-18,11.94,12.1,11.81,12.0,1447350,CTG
156,2017-08-21,12.0,12.07,11.94,11.97,982260,CTG
157,2017-08-22,11.97,11.97,11.78,11.78,1344850,CTG
158,2017-08-23,11.78,11.87,11.68,11.78,1722930,CTG
159,2017-08-24,11.81,12.23,11.78,12.2,2585570,CTG
160,2017-08-25,12.23,12.29,12.1,12.16,1455800,CTG
161,2017-08-28,12.16,12.2,12.04,12.16,1047150,CTG
162,2017-08-29,12.13,12.2,12.04,12.07,1485040,CTG
163,2017-08-30,12.0,12.07,11.97,11.97,624790,CTG
