,time,open,high,low,close,volume,ticker
0,2017-01-03,22.18,23.36,22.18,23.21,2018750,VCB
1,2017-01-04,23.36,23.43,22.93,23.05,1339740,VCB
2,2017-01-05,22.99,23.24,22.96,23.15,855250,VCB
3,2017-01-06,23.18,23.93,23.12,23.61,2495910,VCB
4,2017-01-09,23.8,24.27,23.74,24.11,2379510,VCB
5,2017-01-10,23.93,24.08,23.89,23.93,1234210,VCB
6,2017-01-11,23.93,24.14,23.83,23.96,1498220,VCB
7,2017-01-12,23.93,23.99,23.55,23.61,1863070,VCB
8,2017-01-13,23.43,23.86,23.33,23.33,1164660,VCB
9,2017-01-16,23.36,23.55,23.08,23.27,641920,VCB
10,2017-01-17,23.36,24.39,23.36,24.27,2340000,VCB
11,2017-01-18,24.14,24.39,23.86,23.86,1143460,VCB
12,2017-01-19,23.93,23.99,23.68,23.68,521040,VCB
13,2017-01-20,23.8,23.99,23.68,23.68,908930,VCB
14,2017-01-23,23.89,23.89,23.65,23.74,717890,VCB
15,2017-01-24,23.71,24.05,23.68,24.05,899030,VCB
16,2017-01-25,24.24,24.49,23.93,24.49,1352580,VCB
17,2017-02-02,24.67,24.67,24.24,24.58,1368580,VCB
18,2017-02-03,24.61,24.61,24.11,24.11,1546040,VCB
19,2017-02-06,24.11,24.24,23.93,24.11,1288900,VCB
20,2017-02-07,24.17,24.46,24.14,24.46,1527190,VCB
21,2017-02-08,24.55,24.8,24.36,24.77,1792740,VCB
22,2017-02-09,24.83,24.86,24.61,24.74,1203520,VCB
23,2017-02-10,24.7,24.7,24.49,24.49,1754030,VCB
24,2017-02-13,24.49,24.49,24.11,24.21,1490330,VCB
25,2017-02-14,24.21,24.36,23.99,24.11,1325510,VCB
26,2017-02-15,24.21,24.49,24.05,24.3,1419820,VCB
27,2017-02-16,24.42,24.64,23.99,24.05,1359740,VCB
28,2017-02-17,24.11,24.14,23.86,23.86,1220700,VCB
29,2017-02-20,23.99,23.99,23.61,23.65,1322360,VCB
30,2017-02-21,23.68,23.96,23.65,23.93,1076370,VCB
31,2017-02-22,23.99,23.99,23.55,23.61,802090,VCB
32,2017-02-23,23.61,23.8,23.4,23.43,1453770,VCB
33,2017-02-24,23.55,23.58,23.24,23.33,785650,VCB
34,2017-02-27,23.18,23.89,23.18,23.8,902460,VCB
35,2017-02-28,23.8,23.8,23.3,23.3,703780,VCB
36,2017-03-01,23.3,23.43,23.18,23.18,753500,VCB
37,2017-03-02,23.43,23.49,22.99,22.99,1147120,VCB
38,2017-03-03,23.18,23.43,22.99,23.36,516470,VCB
39,2017-03-06,23.68,23.68,23.24,23.24,510190,VCB
40,2017-03-07,23.36,23.36,23.12,23.36,561990,VCB
41,2017-03-08,23.24,23.8,23.24,23.49,892080,VCB
42,2017-03-09,23.65,23.93,23.55,23.55,1001970,VCB
43,2017-03-10,23.61,23.8,23.27,23.36,596520,VCB
44,2017-03-13,23.12,23.3,23.08,23.08,885720,VCB
45,2017-03-14,23.08,23.3,23.08,23.08,502570,VCB
46,2017-03-15,23.21,23.21,23.02,23.02,561660,VCB
47,2017-03-16,23.05,23.21,23.02,23.12,574840,VCB
48,2017-03-17,23.12,23.4,23.02,23.05,3101080,VCB
49,2017-03-20,23.3,23.61,23.3,23.4,1083060,VCB
50,2017-03-21,23.55,23.68,23.43,23.68,975510,VCB
51,2017-03-22,23.68,23.89,23.43,23.49,1941850,VCB
52,2017-03-23,23.49,23.99,23.43,23.83,1640470,VCB
53,2017-03-24,23.99,24.02,23.52,23.68,1411600,VCB
54,2017-03-27,23.68,23.93,23.52,23.55,1677100,VCB
55,2017-03-28,23.55,23.71,23.27,23.3,1950220,VCB
56,2017-03-29,23.24,23.36,23.15,23.24,1380040,VCB
57,2017-03-30,23.24,23.43,23.18,23.18,1000760,VCB
58,2017-03-31,23.18,23.3,22.99,22.99,1648790,VCB
59,2017-04-03,22.99,23.08,22.62,22.68,2231080,VCB
60,2017-04-04,22.74,23.12,22.71,22.93,1012810,VCB
61,2017-04-05,22.93,23.24,22.93,22.96,620740,VCB
62,2017-04-07,22.8,22.99,22.8,22.93,746360,VCB
63,2017-04-10,22.99,23.12,22.87,22.87,701010,VCB
64,2017-04-11,22.87,23.05,22.87,22.99,494890,VCB
65,2017-04-12,23.05,23.05,22.84,22.93,925540,VCB
66,2017-04-13,22.84,23.15,22.84,22.9,771230,VCB
67,2017-04-14,22.87,22.9,22.43,22.65,1028920,VCB
68,2017-04-17,22.65,22.71,22.12,22.12,1031640,VCB
69,2017-04-18,22.12,22.34,22.06,22.34,534340,VCB
70,2017-04-19,22.31,22.49,22.24,22.37,571690,VCB
71,2017-04-20,22.37,22.37,22.06,22.06,1002210,VCB
72,2017-04-21,22.06,22.37,22.06,22.12,517030,VCB
73,2017-04-24,22.12,22.27,21.87,21.87,450210,VCB
74,2017-04-25,21.87,21.99,21.78,21.87,656130,VCB
75,2017-04-26,21.87,21.93,21.81,21.84,709260,VCB
76,2017-04-27,21.93,21.99,21.62,21.71,2240170,VCB
77,2017-04-28,21.68,21.96,21.65,21.87,1522920,VCB
78,2017-05-03,21.87,22.43,21.84,22.12,899880,VCB
79,2017-05-04,22.12,22.8,22.06,22.62,2186490,VCB
80,2017-05-05,22.62,22.62,22.37,22.49,783900,VCB
81,2017-05-08,22.49,22.62,22.24,22.27,863080,VCB
82,2017-05-09,22.27,22.8,22.21,22.71,1633890,VCB
83,2017-05-10,22.71,23.05,22.71,22.9,1447800,VCB
84,2017-05-11,22.93,23.05,22.9,22.93,1216160,VCB
85,2017-05-12,22.9,22.93,22.65,22.71,898130,VCB
86,2017-05-15,22.68,22.74,22.52,22.62,1127830,VCB
87,2017-05-16,22.49,22.68,22.43,22.46,1005430,VCB
88,2017-05-17,22.43,22.65,22.43,22.55,1250660,VCB
89,2017-05-18,22.49,22.77,22.49,22.65,1050880,VCB
90,2017-05-19,22.68,22.9,22.62,22.9,1089810,VCB
91,2017-05-22,23.12,23.8,22.9,23.36,3432310,VCB
92,2017-05-23,23.36,23.49,23.18,23.18,1332510,VCB
93,2017-05-24,23.15,23.71,23.08,23.52,1579160,VCB
94,2017-05-25,23.55,23.58,23.12,23.12,1692550,VCB
95,2017-05-26,23.08,23.21,22.87,22.87,1241870,VCB
96,2017-05-29,23.12,23.3,22.68,22.68,1697170,VCB
97,2017-05-30,22.87,22.87,22.55,22.62,1368210,VCB
98,2017-05-31,22.87,22.87,22.31,22.55,1478930,VCB
99,2017-06-01,22.68,22.84,22.55,22.62,972860,VCB
100,2017-06-02,22.62,22.74,22.49,22.62,1088530,VCB
101,2017-06-05,22.68,23.24,22.65,23.18,1909000,VCB
102,2017-06-06,23.24,24.08,23.18,24.08,4750190,VCB
103,2017-06-07,24.11,24.21,23.8,23.86,2419330,VCB
104,2017-06-08,23.8,23.86,23.55,23.61,1634700,VCB
105,2017-06-09,23.74,24.05,23.61,23.93,1972850,VCB
106,2017-06-12,23.93,23.96,23.65,23.89,971550,VCB
107,2017-06-13,23.71,24.08,23.68,24.02,986280,VCB
108,2017-06-14,24.02,24.55,24.02,24.42,2818810,VCB
109,2017-06-15,24.42,24.67,24.33,24.61,2996650,VCB
110,2017-06-16,24.83,24.83,24.46,24.61,2708280,VCB
111,2017-06-19,24.83,24.92,24.55,24.74,1526720,VCB
112,2017-06-20,24.8,24.8,24.49,24.61,2278990,VCB
113,2017-06-21,24.49,24.52,23.68,24.08,2270290,VCB
114,2017-06-22,24.11,24.14,23.74,23.74,1355410,VCB
115,2017-06-23,23.71,23.8,23.52,23.74,1880570,VCB
116,2017-06-26,23.86,24.05,23.77,23.99,1214450,VCB
117,2017-06-27,24.17,24.21,23.83,23.83,1026510,VCB
118,2017-06-28,23.83,23.86,23.58,23.71,1400580,VCB
119,2017-06-29,23.86,23.89,23.61,23.8,841580,VCB
120,2017-06-30,23.86,24.05,23.74,23.99,854400,VCB
121,2017-07-03,23.96,24.39,23.93,24.24,1812960,VCB
122,2017-07-04,24.24,24.3,23.99,24.11,819980,VCB
123,2017-07-05,24.17,24.3,23.96,24.21,799160,VCB
124,2017-07-06,24.21,24.61,24.17,24.52,2378800,VCB
125,2017-07-07,24.61,24.7,24.11,24.11,1164990,VCB
126,2017-07-10,24.24,24.36,23.68,23.74,1364350,VCB
127,2017-07-11,23.68,23.86,23.43,23.86,1103920,VCB
128,2017-07-12,23.93,23.99,23.58,23.68,1299690,VCB
129,2017-07-13,23.99,23.99,23.68,23.8,467540,VCB
130,2017-07-14,23.8,23.89,23.71,23.83,386280,VCB
131,2017-07-17,23.83,23.89,23.49,23.49,703340,VCB
132,2017-07-18,23.43,23.68,23.4,23.52,1396110,VCB
133,2017-07-19,23.55,23.65,23.36,23.43,1170570,VCB
134,2017-07-20,23.36,23.43,23.12,23.33,1086130,VCB
