,Date,AGR,BID,VCB,CTG
0,2017-01-03,2380,9800,23210,9970
1,2017-01-04,2290,9990,23050,10160
2,2017-01-05,2330,9960,23150,10220
3,2017-01-06,2320,10180,23610,10310
4,2017-01-09,2350,10480,24110,10590
5,2017-01-10,2420,10410,23930,10470
6,2017-01-11,2430,10730,23960,10960
7,2017-01-12,2430,10670,23610,10900
8,2017-01-13,2430,10510,23330,10710
9,2017-01-16,2410,10220,23270,10650
10,2017-01-17,2400,10860,24270,11390
11,2017-01-18,2400,10640,23860,11160
12,2017-01-19,2470,10640,23680,11390
13,2017-01-20,2500,10770,23680,11550
14,2017-01-23,2560,10900,23740,11810
15,2017-01-24,2570,10990,24050,11970
16,2017-01-25,2740,10930,24490,11970
17,2017-02-02,2930,11120,24580,12070
18,2017-02-03,3040,11120,24110,11910
19,2017-02-06,3060,11120,24110,11810
20,2017-02-07,3000,11060,24460,11710
21,2017-02-08,3010,10990,24770,11520
22,2017-02-09,3220,10900,24740,11650
23,2017-02-10,3360,11060,24490,11970
24,2017-02-13,3590,10900,24210,11940
25,2017-02-14,3590,10990,24110,12040
26,2017-02-15,3650,11220,24300,12460
27,2017-02-16,3400,10990,24050,12460
28,2017-02-17,3230,10930,23860,12200
29,2017-02-20,3210,10730,23650,11940
30,2017-02-21,3320,10800,23930,11810
31,2017-02-22,3130,10730,23610,11620
32,2017-02-23,2990,10770,23430,11550
33,2017-02-24,2790,10770,23330,11650
34,2017-02-27,2990,10800,23800,11810
35,2017-02-28,3200,10640,23300,11780
36,2017-03-01,3040,10540,23180,11620
37,2017-03-02,3040,10380,22990,11580
38,2017-03-03,2940,10610,23360,11810
39,2017-03-06,3070,10730,23240,11870
40,2017-03-07,3070,10670,23360,11810
41,2017-03-08,3050,10730,23490,11840
42,2017-03-09,2990,10860,23550,11870
43,2017-03-10,3050,10700,23360,11750
44,2017-03-13,3020,10670,23080,11580
45,2017-03-14,3030,10610,23080,11550
46,2017-03-15,2950,10640,23020,11490
47,2017-03-16,3130,10570,23120,11520
48,2017-03-17,3200,10800,23050,11650
49,2017-03-20,3320,10830,23400,11810
50,2017-03-21,3360,11250,23680,11940
51,2017-03-22,3590,11250,23490,11840
52,2017-03-23,3850,11280,23830,11940
53,2017-03-24,4110,11580,23680,12070
54,2017-03-27,3830,11480,23550,12130
55,2017-03-28,3720,11250,23300,11940
56,2017-03-29,3470,11250,23240,11840
57,2017-03-30,3690,11480,23180,11840
58,2017-03-31,3510,11350,22990,11680
59,2017-04-03,3400,11090,22680,11620
60,2017-04-04,3550,11120,22930,11580
61,2017-04-05,3530,11090,22960,11620
62,2017-04-07,3450,11060,22930,11620
63,2017-04-10,3240,10990,22870,11550
64,2017-04-11,3360,10990,22990,11680
65,2017-04-12,3310,10990,22930,11490
66,2017-04-13,3250,10930,22900,11450
67,2017-04-14,3230,11030,22650,11290
68,2017-04-17,3260,10610,22120,10970
69,2017-04-18,3240,10670,22340,11160
70,2017-04-19,3450,10540,22370,11160
71,2017-04-20,3360,10730,22060,11230
72,2017-04-21,3320,10700,22120,11040
73,2017-04-24,3310,10570,21870,10970
74,2017-04-25,3280,10570,21870,11040
75,2017-04-26,3240,10670,21840,11100
76,2017-04-27,3300,10730,21710,11160
77,2017-04-28,3280,10730,21870,11200
78,2017-05-03,3290,10730,22120,11290
79,2017-05-04,3400,10860,22620,11490
80,2017-05-05,3340,10700,22490,11450
81,2017-05-08,3310,10670,22270,11450
82,2017-05-09,3360,10730,22710,11580
83,2017-05-10,3370,11060,22900,11810
84,2017-05-11,3330,10990,22930,11680
85,2017-05-12,3280,10960,22710,11710
86,2017-05-15,3330,10930,22620,11680
87,2017-05-16,3380,10930,22460,11490
88,2017-05-17,3350,10800,22550,11450
89,2017-05-18,3280,10860,22650,11580
90,2017-05-19,3340,11120,22900,11750
91,2017-05-22,3380,11900,23360,12390
92,2017-05-23,3320,12000,23180,12070
